"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,19,NA,NA,NA,NA,NA
"2",2,5,35,42,44,NA,NA,NA
"3",3,10,17,26,27,28,31,32
"4",4,2,5,18,22,27,46,NA
"5",5,23,24,40,41,43,NA,NA
"6",6,4,9,44,NA,NA,NA,NA
"7",7,13,17,44,47,NA,NA,NA
"8",8,4,45,NA,NA,NA,NA,NA
"9",9,5,15,22,NA,NA,NA,NA
"10",10,17,29,47,NA,NA,NA,NA
"11",11,9,27,37,48,NA,NA,NA
"12",12,1,17,35,46,NA,NA,NA
"13",13,4,22,25,NA,NA,NA,NA
"14",14,17,18,28,47,NA,NA,NA
"15",15,12,27,28,NA,NA,NA,NA
"16",16,16,32,45,NA,NA,NA,NA
"17",17,7,11,17,40,NA,NA,NA
"18",18,15,39,NA,NA,NA,NA,NA
"19",19,49,NA,NA,NA,NA,NA,NA
"20",20,20,21,35,36,NA,NA,NA
"21",21,6,9,13,35,43,NA,NA
"22",22,0,2,32,46,NA,NA,NA
"23",23,3,18,35,NA,NA,NA,NA
"24",24,27,30,46,NA,NA,NA,NA
"25",25,17,47,NA,NA,NA,NA,NA
"26",26,35,38,NA,NA,NA,NA,NA
"27",27,5,22,46,NA,NA,NA,NA
"28",28,0,8,42,NA,NA,NA,NA
"29",29,0,4,46,NA,NA,NA,NA
"30",30,4,16,49,NA,NA,NA,NA
"31",31,4,11,36,NA,NA,NA,NA
"32",32,0,22,37,NA,NA,NA,NA
"33",33,20,27,28,NA,NA,NA,NA
"34",34,33,35,42,43,NA,NA,NA
"35",35,27,28,39,41,NA,NA,NA
"36",36,18,35,NA,NA,NA,NA,NA
"37",37,31,44,49,NA,NA,NA,NA
"38",38,2,8,12,NA,NA,NA,NA
"39",39,12,33,42,NA,NA,NA,NA
"40",40,24,27,28,44,NA,NA,NA
"41",41,4,14,28,41,42,NA,NA
"42",42,7,15,33,40,49,NA,NA
"43",43,16,23,32,45,NA,NA,NA
"44",44,16,19,29,NA,NA,NA,NA
"45",45,10,27,28,NA,NA,NA,NA
"46",46,5,22,24,NA,NA,NA,NA
"47",47,12,21,25,39,NA,NA,NA
"48",48,4,9,46,NA,NA,NA,NA
"49",49,2,11,27,45,NA,NA,NA
"50",50,17,23,29,42,NA,NA,NA
"51",51,7,11,37,45,NA,NA,NA
"52",52,14,44,NA,NA,NA,NA,NA
"53",53,9,19,30,33,42,NA,NA
"54",54,13,16,21,32,39,NA,NA
"55",55,7,11,37,44,45,NA,NA
"56",56,11,17,29,45,47,NA,NA
"57",57,7,11,37,45,NA,NA,NA
"58",58,4,14,27,30,43,44,49
"59",59,3,6,10,17,29,37,39
"60",60,16,32,45,NA,NA,NA,NA
"61",61,3,18,35,NA,NA,NA,NA
"62",62,1,19,26,27,NA,NA,NA
"63",63,5,18,27,NA,NA,NA,NA
"64",64,0,14,42,NA,NA,NA,NA
"65",65,1,31,35,NA,NA,NA,NA
"66",66,46,NA,NA,NA,NA,NA,NA
"67",67,7,11,37,NA,NA,NA,NA
"68",68,3,7,21,NA,NA,NA,NA
"69",69,0,33,42,NA,NA,NA,NA
"70",70,12,31,36,NA,NA,NA,NA
"71",71,0,17,24,NA,NA,NA,NA
"72",72,5,14,29,44,NA,NA,NA
"73",73,1,15,19,NA,NA,NA,NA
"74",74,10,15,18,35,49,NA,NA
"75",75,3,18,35,NA,NA,NA,NA
"76",76,2,15,16,18,31,32,42
"77",45,NA,NA,NA,NA,NA,NA,NA
"78",77,4,9,NA,NA,NA,NA,NA
"79",78,4,22,29,36,NA,NA,NA
"80",79,4,9,NA,NA,NA,NA,NA
"81",80,28,42,49,NA,NA,NA,NA
"82",81,14,16,18,NA,NA,NA,NA
"83",82,21,27,28,31,NA,NA,NA
"84",83,3,18,35,NA,NA,NA,NA
"85",84,4,49,NA,NA,NA,NA,NA
"86",85,1,8,15,41,NA,NA,NA
"87",86,5,16,17,NA,NA,NA,NA
"88",87,4,13,27,28,NA,NA,NA
"89",88,5,22,30,NA,NA,NA,NA
"90",89,7,15,49,NA,NA,NA,NA
"91",90,16,23,27,32,39,45,47
"92",91,9,19,30,NA,NA,NA,NA
"93",92,27,28,NA,NA,NA,NA,NA
"94",93,23,24,40,41,NA,NA,NA
"95",94,17,28,30,31,41,47,NA
"96",95,0,13,22,29,NA,NA,NA
"97",96,5,12,22,NA,NA,NA,NA
"98",97,7,11,37,45,NA,NA,NA
"99",98,2,4,9,NA,NA,NA,NA
"100",99,3,18,35,44,NA,NA,NA
"101",100,4,18,39,NA,NA,NA,NA
"102",101,7,15,30,49,NA,NA,NA
"103",102,9,NA,NA,NA,NA,NA,NA
"104",103,4,NA,NA,NA,NA,NA,NA
"105",104,18,22,44,NA,NA,NA,NA
"106",105,7,11,37,NA,NA,NA,NA
"107",106,4,9,NA,NA,NA,NA,NA
"108",107,3,5,21,40,44,48,NA
"109",108,7,33,42,NA,NA,NA,NA
"110",109,16,32,45,NA,NA,NA,NA
"111",110,12,32,42,NA,NA,NA,NA
"112",111,23,34,39,NA,NA,NA,NA
"113",112,8,23,31,NA,NA,NA,NA
"114",113,0,11,14,19,29,41,NA
"115",114,15,39,NA,NA,NA,NA,NA
"116",115,16,24,32,33,45,NA,NA
"117",116,0,15,21,30,46,NA,NA
"118",117,6,11,NA,NA,NA,NA,NA
"119",118,6,26,43,NA,NA,NA,NA
"120",119,4,12,27,28,NA,NA,NA
"121",120,31,32,41,NA,NA,NA,NA
"122",121,23,24,40,41,NA,NA,NA
"123",122,4,31,39,45,NA,NA,NA
"124",123,16,20,36,37,NA,NA,NA
"125",124,0,1,24,31,34,46,NA
"126",125,17,29,47,NA,NA,NA,NA
"127",126,23,46,49,NA,NA,NA,NA
"128",127,7,15,49,NA,NA,NA,NA
"129",128,7,15,49,NA,NA,NA,NA
"130",129,38,NA,NA,NA,NA,NA,NA
"131",130,4,9,43,NA,NA,NA,NA
"132",131,17,29,47,NA,NA,NA,NA
"133",132,12,31,36,48,NA,NA,NA
"134",133,27,34,46,NA,NA,NA,NA
"135",134,33,42,NA,NA,NA,NA,NA
"136",135,33,42,45,NA,NA,NA,NA
"137",136,7,11,37,45,NA,NA,NA
"138",137,16,32,NA,NA,NA,NA,NA
"139",138,7,11,37,45,NA,NA,NA
"140",139,5,22,37,47,NA,NA,NA
"141",140,16,32,41,48,NA,NA,NA
"142",141,23,24,40,41,43,NA,NA
"143",142,6,22,NA,NA,NA,NA,NA
"144",143,6,16,28,32,NA,NA,NA
"145",144,36,42,48,49,NA,NA,NA
"146",145,2,25,39,NA,NA,NA,NA
"147",146,35,39,43,46,NA,NA,NA
"148",147,23,24,40,41,43,NA,NA
"149",148,14,NA,NA,NA,NA,NA,NA
"150",149,1,4,9,15,20,NA,NA
"151",150,0,2,46,NA,NA,NA,NA
"152",151,12,21,25,26,NA,NA,NA
"153",152,29,NA,NA,NA,NA,NA,NA
"154",153,2,3,11,19,41,45,47
"155",154,18,19,28,48,NA,NA,NA
"156",155,14,25,NA,NA,NA,NA,NA
"157",156,3,12,18,31,34,35,NA
"158",157,3,26,32,33,NA,NA,NA
"159",158,2,5,25,32,NA,NA,NA
"160",159,1,8,14,29,35,39,49
"161",160,5,22,24,NA,NA,NA,NA
"162",161,3,5,12,15,17,20,21
"163",162,4,29,43,NA,NA,NA,NA
"164",163,8,17,22,23,24,NA,NA
