"","V1","V2","V3","V4","V5","V6"
"1",1,4,5,6,10,NA
"2",2,1,12,19,46,47
"3",3,16,32,NA,NA,NA
"4",4,18,24,35,NA,NA
"5",5,12,22,27,30,NA
"6",6,18,29,NA,NA,NA
"7",7,0,2,8,NA,NA
"8",8,14,40,44,NA,NA
"9",9,3,18,35,NA,NA
"10",10,12,28,31,36,48
"11",11,14,44,NA,NA,NA
"12",12,6,27,28,NA,NA
"13",13,17,29,47,NA,NA
"14",14,4,16,32,NA,NA
"15",15,0,2,4,7,11
"16",37,42,NA,NA,NA,NA
"17",16,13,40,NA,NA,NA
"18",17,14,NA,NA,NA,NA
"19",18,13,20,32,NA,NA
"20",19,12,31,36,48,NA
"21",20,6,42,NA,NA,NA
"22",21,18,20,22,24,NA
"23",22,22,41,47,NA,NA
"24",23,24,28,35,42,NA
"25",24,5,19,22,25,NA
"26",25,9,21,29,30,42
"27",45,NA,NA,NA,NA,NA
"28",26,18,35,NA,NA,NA
"29",27,14,44,NA,NA,NA
"30",28,16,32,45,NA,NA
"31",29,27,28,NA,NA,NA
"32",30,6,14,22,30,38
"33",40,46,NA,NA,NA,NA
"34",31,23,24,40,41,43
"35",32,1,19,NA,NA,NA
"36",33,5,22,37,NA,NA
"37",34,0,2,5,46,NA
"38",35,4,9,NA,NA,NA
"39",36,27,28,33,NA,NA
"40",37,5,20,22,41,44
"41",38,14,34,39,44,NA
"42",39,1,12,16,22,39
"43",40,2,9,16,17,35
"44",45,NA,NA,NA,NA,NA
"45",41,24,30,48,NA,NA
"46",42,4,9,11,NA,NA
"47",43,5,22,NA,NA,NA
"48",44,4,9,NA,NA,NA
"49",45,27,44,NA,NA,NA
"50",46,20,21,45,NA,NA
"51",47,14,19,24,29,33
"52",34,36,38,NA,NA,NA
"53",48,1,19,36,41,42
"54",49,16,22,35,NA,NA
"55",50,6,12,21,30,40
"56",44,NA,NA,NA,NA,NA
"57",51,1,3,4,9,24
"58",36,43,44,NA,NA,NA
"59",52,4,9,42,47,NA
"60",53,7,11,37,45,NA
"61",54,16,32,45,NA,NA
"62",55,7,10,11,37,45
"63",56,4,9,NA,NA,NA
"64",57,18,20,45,NA,NA
"65",58,18,35,44,NA,NA
"66",59,45,47,NA,NA,NA
"67",60,28,NA,NA,NA,NA
"68",61,17,29,45,47,NA
"69",62,23,24,40,41,43
"70",63,12,31,36,48,NA
"71",64,12,30,35,NA,NA
"72",65,12,14,19,23,44
"73",66,1,NA,NA,NA,NA
"74",67,18,22,NA,NA,NA
"75",68,33,39,42,NA,NA
"76",69,33,42,NA,NA,NA
"77",70,3,18,35,NA,NA
"78",71,0,7,27,NA,NA
"79",72,15,27,NA,NA,NA
"80",73,23,24,40,41,43
"81",74,0,2,25,46,NA
"82",75,3,18,35,NA,NA
"83",76,6,12,20,31,36
"84",77,3,4,16,19,32
"85",34,NA,NA,NA,NA,NA
"86",78,22,26,NA,NA,NA
"87",79,2,4,17,34,NA
"88",80,23,24,40,41,43
"89",81,1,19,NA,NA,NA
"90",82,9,12,26,32,NA
"91",83,29,34,38,NA,NA
"92",84,1,18,NA,NA,NA
"93",85,12,16,32,45,NA
"94",86,27,28,NA,NA,NA
"95",87,1,17,19,26,48
"96",88,4,9,14,NA,NA
"97",89,1,19,20,27,NA
"98",90,15,22,25,38,49
"99",91,14,16,32,NA,NA
"100",92,12,31,36,48,NA
"101",93,16,32,45,NA,NA
"102",94,27,28,NA,NA,NA
"103",95,16,32,45,49,NA
"104",96,6,NA,NA,NA,NA
"105",97,0,2,45,46,NA
"106",98,13,26,48,NA,NA
"107",99,1,19,33,NA,NA
"108",100,23,24,40,41,43
"109",101,0,4,14,33,42
"110",45,47,NA,NA,NA,NA
"111",102,2,13,23,NA,NA
"112",103,7,8,10,20,22
"113",26,NA,NA,NA,NA,NA
"114",104,16,32,45,NA,NA
"115",105,12,31,36,48,NA
"116",106,8,16,26,29,32
"117",45,NA,NA,NA,NA,NA
"118",107,1,6,21,NA,NA
"119",108,45,NA,NA,NA,NA
"120",109,23,43,47,NA,NA
"121",110,6,11,15,18,NA
"122",111,7,11,37,NA,NA
"123",112,33,42,47,NA,NA
"124",113,30,33,42,NA,NA
"125",114,26,33,42,NA,NA
"126",115,8,14,30,NA,NA
"127",116,20,26,45,NA,NA
"128",117,19,27,28,38,NA
"129",118,15,33,42,NA,NA
"130",119,16,22,NA,NA,NA
"131",120,11,14,44,NA,NA
"132",121,7,11,17,23,24
"133",40,41,43,NA,NA,NA
"134",122,3,4,13,40,NA
"135",123,13,22,24,29,NA
"136",124,3,18,35,NA,NA
"137",125,1,10,44,NA,NA
"138",126,4,9,NA,NA,NA
"139",127,3,4,16,18,35
"140",36,39,NA,NA,NA,NA
"141",128,3,25,NA,NA,NA
"142",129,18,27,37,NA,NA
"143",130,12,14,37,44,NA
"144",131,0,34,46,NA,NA
"145",132,38,NA,NA,NA,NA
"146",133,20,22,29,41,NA
"147",134,8,22,43,NA,NA
"148",135,11,27,NA,NA,NA
"149",136,1,24,25,27,28
"150",137,3,5,7,14,NA
