"","V1","V2","V3","V4","V5"
"1",1,11,21,NA,NA
"2",2,7,11,37,45
"3",3,3,33,42,NA
"4",4,5,12,17,47
"5",5,6,18,42,NA
"6",6,2,4,34,NA
"7",7,15,16,23,40
"8",8,2,3,29,34
"9",9,18,23,26,35
"10",36,NA,NA,NA,NA
"11",10,44,45,NA,NA
"12",11,17,38,48,49
"13",12,2,3,11,21
"14",37,41,49,NA,NA
"15",13,3,17,43,48
"16",14,17,35,43,45
"17",15,15,37,43,NA
"18",16,0,2,20,46
"19",48,NA,NA,NA,NA
"20",17,17,47,NA,NA
"21",18,14,NA,NA,NA
"22",19,16,39,NA,NA
"23",20,13,42,NA,NA
"24",21,7,11,37,45
"25",22,7,15,49,NA
"26",23,23,24,40,41
"27",43,NA,NA,NA,NA
"28",24,9,15,28,47
"29",25,32,33,37,NA
"30",26,5,8,16,19
"31",20,25,39,45,NA
"32",27,13,22,24,32
"33",33,NA,NA,NA,NA
"34",28,14,44,NA,NA
"35",29,6,13,20,39
"36",40,44,49,NA,NA
"37",30,13,46,NA,NA
"38",31,8,27,28,NA
"39",32,1,19,NA,NA
"40",33,6,36,NA,NA
"41",34,7,15,49,NA
"42",35,12,31,36,48
"43",36,17,29,47,NA
"44",37,5,10,21,34
"45",37,48,NA,NA,NA
"46",38,1,19,NA,NA
"47",39,4,9,NA,NA
"48",40,7,15,40,49
"49",41,18,19,21,35
"50",42,3,17,19,NA
"51",43,13,14,27,NA
"52",44,14,19,NA,NA
"53",45,0,2,6,46
"54",46,14,30,39,44
"55",47,0,26,46,NA
"56",48,0,2,46,NA
"57",49,1,3,12,24
"58",31,36,39,48,NA
"59",50,33,NA,NA,NA
"60",51,28,42,NA,NA
"61",52,0,2,46,NA
"62",53,4,9,NA,NA
"63",54,3,18,35,NA
"64",55,23,24,40,41
"65",43,NA,NA,NA,NA
"66",56,33,42,43,47
"67",57,14,33,44,NA
"68",58,15,22,28,29
"69",41,NA,NA,NA,NA
"70",59,27,28,NA,NA
"71",60,27,29,32,NA
"72",61,2,37,NA,NA
"73",62,0,3,18,35
"74",63,0,16,NA,NA
"75",64,1,19,NA,NA
